id;code_article;libelle_article;pa_article;pv_article;stock_initial_article;date_enregistrement_article;image_article;image_article_content_type
1;Buckinghamshire;Small online;46844;21860;39038;2021-06-13;../fake-data/blob/hipster.png;image/png
2;Directives;Kuwait Sleek backing up;7262;74402;23053;2021-06-13;../fake-data/blob/hipster.png;image/png
3;Home Loan Account maroon;system International teal;85816;25864;62389;2021-06-14;../fake-data/blob/hipster.png;image/png
4;leverage generating Tunisia;Principal Egypt;59539;29638;4247;2021-06-14;../fake-data/blob/hipster.png;image/png
5;transparent;program Trail Sports;85580;94564;92277;2021-06-13;../fake-data/blob/hipster.png;image/png
6;indexing;Rustic magenta;7588;19943;39391;2021-06-14;../fake-data/blob/hipster.png;image/png
7;SMTP;Incredible Fresh Computer online;88700;80035;84135;2021-06-14;../fake-data/blob/hipster.png;image/png
8;XSS Refined Cotton Ball AI;Credit Card Account Planner;93698;20841;25406;2021-06-14;../fake-data/blob/hipster.png;image/png
9;Rustic Frozen Mouse;Operations alarm matrix;906;75648;79184;2021-06-14;../fake-data/blob/hipster.png;image/png
10;compress Sleek;Representative yellow;26514;50633;44253;2021-06-14;../fake-data/blob/hipster.png;image/png
