id;code_commande;date_commande;libelle_commande;quantite_commande;status_commande;montant_verse_commande;date_livraison
1;back-end Vermont;2021-06-14;software pixel parse;42697;false;57402;2021-06-13
2;Total Assistant;2021-06-14;systems Progressive feed;27297;false;9409;2021-06-13
3;Organic Station;2021-06-14;Faroe Islands;19873;true;15650;2021-06-13
4;Brand;2021-06-14;Markets copying Product;18149;false;69648;2021-06-14
5;Berkshire calculate;2021-06-14;Frozen;58901;true;79062;2021-06-14
6;Station Quality Vietnam;2021-06-13;Optimized Ohio end-to-end;42311;true;64279;2021-06-14
7;generating Liechtenstein;2021-06-14;technologies;32484;true;4665;2021-06-13
8;Uganda Shilling;2021-06-14;strategy Micronesia;92521;false;9985;2021-06-13
9;Sudanese Pound;2021-06-14;interfaces;56085;true;69151;2021-06-14
10;Metal Berkshire;2021-06-14;bypass Montana compress;13027;false;78850;2021-06-14
