id;numero_facture;libelle_facture;prescipteur_facture
1;best-of-breed robust;../fake-data/blob/hipster.txt;Fantastic Fresh Ball Health
2;Consultant;../fake-data/blob/hipster.txt;Cambridgeshire
3;explicit cutting-edge Cotton;../fake-data/blob/hipster.txt;Buckinghamshire
4;Identity quantifying Shoes;../fake-data/blob/hipster.txt;input Checking Account Creative
5;deposit Strategist;../fake-data/blob/hipster.txt;bypass Poland
6;collaboration;../fake-data/blob/hipster.txt;solid state
7;Metal asymmetric Home Loan Account;../fake-data/blob/hipster.txt;Garden Drive Investment Account
8;Quality-focused web-readiness;../fake-data/blob/hipster.txt;Luxembourg
9;Checking Account Avon;../fake-data/blob/hipster.txt;hack hard drive
10;Officer;../fake-data/blob/hipster.txt;index
